trial,WN_IN,WN_LAT,WP_LAT,WN_TAIL,WP_RST,t_regen_ps,power_uW,fom_raw,fom_final,valid
31,3.716895265069522,1.607438458354687,1.5922729217205982,8.34334103574419,0.5512676791056539,34.5077,39.418506,1360.2419794962,1360.2419794962,True
32,3.8238846252181924,0.9277156793410806,1.5395515445285923,7.94427104838193,0.5721624160564369,41.59199,36.299214,1509.75654569586,1509.75654569586,True
33,3.3791469095529503,1.7728195395774933,2.187450374491875,8.098848731914904,0.42932908292423555,35.83019,41.095116000000004,1472.4458143520403,1472.4458143520403,True
34,3.686227734105473,1.4457318312214413,2.5615202777800823,9.829978067036048,0.6172195304024988,41.000679999999996,44.06643,1806.7535951723996,1806.7535951723996,True
35,3.3946698943546387,2.483895685639798,1.1702185409274846,7.913137170104958,0.8455512005275125,33.4004,41.98068,1402.171504272,1402.171504272,True
36,3.0638731860786237,2.022237814357756,1.0539105302380698,8.640310020822836,0.7131884836144405,33.25125,39.212658,1303.8698943225,1303.8698943225,True
37,2.6187817727942413,2.012552938626097,0.6227658421432116,2.9443475551091387,0.8845170066386383,43.33597,33.513534,1452.34150401798,1452.34150401798,True
38,3.0508727908322273,1.1932941361465654,0.9926089482179701,10.897299953087707,0.7319522409555657,37.127320000000005,36.859896,1368.5091539587202,1368.5091539587202,True
39,1.5863816342047357,1.8038528527173012,0.3727051492373637,9.805223176566994,1.0864969959922322,,,,1000000000.0,False
40,2.815768170092317,2.416385619594654,1.0643929653825084,7.587288007031993,0.6655061021723256,33.933589999999995,39.97317600000001,1356.43336538184,1356.43336538184,True
41,2.847330980722788,2.808362666853546,1.0476430550587967,7.548660999131229,0.6699147408160168,33.29409,42.142518,1403.09678711862,1403.09678711862,True
42,2.5010720983279926,2.3998562076300463,0.8057242100050919,8.998417205981813,0.7960366491456636,33.943070000000006,41.344902000000005,1403.3729027291404,1403.3729027291404,True
43,2.7819721202780574,1.9933033432183904,0.6244161604769404,6.337866388614807,0.45429222332740726,31.914960000000004,36.089892,1151.8074595843202,1151.8074595843202,True
44,3.12038768440937,2.0253375758319856,0.516206549165772,6.0417999031401735,0.4695428960058378,30.71414,36.957077999999996,1135.1048676829198,1135.1048676829198,True
45,2.9837313913000907,2.0661307455517894,0.5430748057113066,5.6597979431446275,0.3667836495639242,,,,1000000000.0,False
46,3.460068766917026,1.938999972942315,0.6659813555777939,3.8638871777731287,0.451700892526575,35.34027,33.951654,1199.8606193065798,1199.8606193065798,True
47,3.4731607402839324,2.26661679596238,0.871615680582408,3.685009941741783,0.47387582624812763,36.26058,35.85312,1300.0549260095997,1300.0549260095997,True
48,3.4629286813119537,2.61356098007536,0.6409153347679712,3.724297152314207,0.4681377652745858,34.37515,40.063446,1377.1869657669,1377.1869657669,True
